FEMA No. and Substance,Beverages (ppm),Density
2360 gamma-DECALACTONE,2,0.953
2361 delta-DECALACTONE,5,0.96
2362 DECANAL,2.3,0.83
2363 DECANAL DIMETHYL ACETAL,2,0.844
2364 DECANOIC ACID,9.9,0.893
2365 1-DECANOL,2.1,0.831
2366 2-DECENAL,3.4,0.846
2367 DECYL ACETATE,3.4,0.871
2368 DECYL BUTYRATE,0.18,0.869
2369 DECYL PROPIONATE,0.81,0.869
2370 DIACETYL,2.5,0.985
2371 DIBENZYL ETHER,8.3,1.043
"2372 4,4-DIBUTYL-gamma-BUTYROLACTONE",-,0.943
2373 DIBUTYL SEBACATE,5,0.94
2374 DIETHYL MALATE,5.5,1.122
2375 DIETHYL MALONATE,5.6,1.055
2376 DIETHYL SEBACATE,4.1,0.965
2377 DIETHYL SUCCINATE,7.3,1.042
2378 DIETHYL TARTRATE,50,1.208
2379 DIHYDROCARVEOL,84,0.931
2380 DIHYDROCARVYL ACETATE,5,0.953
2381 DIHYDROCOUMARIN,7.8,1.19
2382 *DILL,-,1
"2383 *DILL, OIL",1.6,0.915
"2384 DILL SEED, INDIAN",-,1
2385 m-DIMETHOXYBENZENE,3,1.066
2386 p-DIMETHOXYBENZENE,8.1,1.053
"2387 2,4-DIMETHYLACETOPHENONE",0.78,0.999
"2388 a,a-DIMETHYLBENZYL iso-BUTYRATE",5,0.97
"2389 2,6-DIMETHYL-5-HEPTENAL",2.8,0.855
"2390 2,6-DIMETHYL OCTANAL",0.44,0.84
"2391 3,7-DIMETHYL-1-OCTANOL",4.3,0.84
"2392 a,a-DIMETHYLPHENETHYL ACETATE",2.8,0.995
"2393 a,a-DIMETHYLPHENETHYL ALCOHOL",3.3,0.987
"2394 a,a-DIMETHYLPHENETHYL BUTYRATE",10,0.97
"2395 a,a-DIMETHYLPHENETHYL FORMATE",2,1.015
2396 DIMETHYL SUCCINATE,100,1.065
"2397 1,3-DIPHENYL-2-PROPANONE",1.7,1.15
2398 DISODIUM PHOSPHATE,350,1.7
2399 DITTANY OF CRETE,25,1
2400 gamma-DODECALACTONE,3.3,0.941
2401 delta-DODECALACTONE,-,0.955
2402 2-DODECENAL,2.9,0.85
"2403 *DOGGRASS, EXTRACT",2,1
"2404 DRAGON'S BLOOD, EXTRACT",300,1.05
2405 *DULSE,-,1
2406 *ELDER FLOWERS,340,1
"2407 ELEMI, GUM",0.13,1
"2408 ELEMI, OIL",0.71,0.875
"2409 ERIGERON, OIL",4.8,0.87
2410 ERYTHORBIC ACID,100,1.76
2411 ESTRAGOLE,10,0.966
"2412 *ESTRAGON, OIL",0.79,0.94
2413 p-ETHOXYBENZALDEHYDE,0.08,1.15
2414 ETHYL ACETATE,67,0.902
2415 ETHYL ACETOACETATE,17,1.028
2416 ETHYL 2-ACETYL-3-PHENYLPROPIONATE,5,1.085
2417 ETHYL ACONITATE (Mixed esters),3.6,1.1
2418 ETHYL ACRYLATE,0.26,0.924
2419 ETHYL ALCOHOL--Ethanol,"1,700.00",0.793
2420 ETHYL p-ANISATE,2.6,1.066
2421 ETHYL ANTHRANILATE,5.9,1.087
2422 ETHYL BENZOATE,2.8,1.05
2423 ETHYL BENZOYLACETATE,0.7,1.119
2424 a-ETHYL BENZYL BUTYRATE,1,0.966
2425 2-ETHYL BUTYL ACETATE,1,0.875
2426 2-ETHYLBUTYRALDEHYDE,5,0.819
2427 ETHYL BUTYRATE,28,0.875
2428 ETHYL iso-BUTYRATE,10,0.87
2429 2-ETHYLBUTYRIC ACID,5,0.922
2430 ETHYL CINNAMATE,4.1,1.056
2431 ETHYL CYCLOHEXANEPROPIONATE,9,0.957
2432 ETHYL DECANOATE,2.1,0.865
2433 ETHYLENE OXIDE,-,0.871
2434 ETHYL FORMATE,9.4,0.923
2435 ETHYL 2-FURANPROPIONATE,1.6,1.026
2436 4-ETHYLGUAIACOL,0.05,1.071
2437 ETHYL HEPTANOATE,6.8,0.867
2438 2-ETHYL-2-HEPTENAL,0.4,0.865
2439 ETHYL HEXANOATE,7,0.871
2440 ETHYL LACTATE,5.4,1.034
2441 ETHYL LAURATE,1.7,0.859
2442 ETHYL LEVULINATE,5.8,1.018
2443 ETHYL 2-METHYLBUTYRATE,0.5,0.875
2444 ETHYL METHYL PHENYLGLYCIDATE,5.6,1.111
2445 ETHYL MYRISTATE,6.7,0.856
2446 ETHYL NITRITE,3,0.9
2447 ETHYL NONANOATE,3.9,0.867
2448 ETHYL 2-NONYNOATE,0.56,0.898
2449 ETHYL OCTANOATE,4.1,0.869
2450 ETHYL OLEATE,0.1,0.875
2451 ETHYL PALMITATE,-,0.853
2452 ETHYL PHENYLACETATE,2.4,1.037
2453 ETHYL 4-PHENYLBUTYRATE,1,1.006
2454 ETHYL 3-PHENYLGLYCIDATE,4.6,1.11
2455 ETHYL 3-PHENYLPROPIONATE,1.8,1.025
2456 ETHYL PROPIONATE,7.7,0.891
2457 ETHYL PYRUVATE,50,0.957
2458 ETHYL SALICYLATE,2.8,0.865
2459 ETHYL SORBATE,5.5,0.871
2460 ETHYL TIGLATE,5.3,0.923
2461 ETHYL 10-UNDECENOATE,1.7,1.026
2462 ETHYL VALERATE,4.2,1.071
2463 ETHYL iso-VALERATE,4.9,0.867
2464 ETHYL VANILLIN,20,0.865
2465 EUCALYPTOL,0.13,0.871
"2466 EUCALYPTUS, OIL",1.7,1.034
2467 EUGENOL,1.4,0.859
2468 iso-EUGENOL,3.7,1.018
2469 EUGENYL ACETATE,0.43,0.875
2470 iso-EUGENYL ACETATE,0.44,1.111
2471 EUGENYL BENZOATE,0.13,0.856
2472 iso-EUGENYL ETHYL ETHER,7.8,0.9
2473 EUGENYL FORMATE,-,0.867
2474 iso-EUGENYL FORMATE,-,0.898
2475 EUGENYL METHYL ETHER,10,0.869
2476 iso-EUGENYL METHYL ETHER,4,0.875
2477 iso-EUGENYL PHENYLACETATE,0.05,0.853
2478 FARNESOL,0.76,1.037
2479 d-FENCHONE,0.8,1.006
2480 FENCHYL ALCOHOL,1.8,1.11
"2481 *FENNEL, COMMON",800,1
"2482 *FENNEL, SWEET",11,1
"2483 *FENNEL, SWEET, OIL",3.9,1.025
2484 *FENUGREEK,470,1
"2485 *FENUGREEK, EXTRACT",50,1
"2486 *FENUGREEK, OLEORESIN",290,1
2487 FORMIC ACID,1,0.891
2488 FUMARIC ACID,50,1.635
2489 FURFURAL,4,1.157
2490 FURFURYL ACETATE,11,1.12
2491 FURFURYL ALCOHOL,19,1.13
2492 2-FURFURYLIDENE BUTYRALDEHYDE,0.5,1.066
2493 FURFURYL MERCAPTAN,0.52,1.137
2494 FURYL ACROLEIN,0.17,1.111
2495 4-(2-FURYL)-3-BUTEN-2-ONE,4.2,1.04
2496 (2-FURYL)-2-PROPANONE,-,1.085
"2497 FUSEL, OIL, REFINED",21,0.835
2498 *GALANGAL ROOT,750,1
"2499 *GALANGAL ROOT, EXTRACT",350,1
"2500 *GALANGAL ROOT, OIL",0.27,0.94
"2501 GALBANUM, OIL",0.16,0.91
"2502 GALBANUM, RESIN",0.25,1.15
"2503 *GARLIC, OIL",0.3,1.095
"2504 GENET, ABSOLUTE",0.83,0.98
"2505 GENET, EXTRACT",1.4,1
"2506 GENTIAN ROOT, EXTRACT",26,1.1
2507 GERANIOL,2.1,0.885
